word,explanation
剖毫析芒,指分析判别得至细至精。
条入叶贯,比喻深入精微，融会贯通。
绷爬吊拷,强行脱去衣服，捆绑并吊起来拷打。同绷扒吊拷。
白面儒冠,犹白面书生。指只知读书，阅历少，见识浅的读书人。有时含贬义。亦泛指读书人。
鉥肝刿肾,比喻用尽心思。多形容为事业、工作、文艺创作等用心的艰苦。同鉥心刿目。
才占八斗,才文才，才华。形容人学问高，文才好。
木落归本,犹言叶落归根。比喻事物总有一定的归宿。多指作客他乡的人最终要回到本乡。
铢两分寸,指极少的数量。
苏海韩潮,指唐朝韩愈和宋朝苏轼的文章气势磅礴，如海如潮。
白璧青蝇,白璧洁白的玉，比喻清白的人。青蝇比喻佞人。比喻善恶忠佞。
地负涵,指大地负载万物，海洋容纳百川。形容包罗万象，含蕴丰富。
翠围珠绕,翠翡翠；珠珍珠。形容富家女子的华丽装饰。亦比喻随从侍女众多。
别抱琵琶,指改嫁。亦指移情他人。
行易知难,行实施；知知晓。实行容易，但通晓其道理却很困难。
枉口拔舌,比喻肆意胡说。多指造谣生事。
继绝存亡,恢复灭亡的国家，延续断绝了的贵族世家。
孜孜不懈,勤勉努力，毫不懈怠。
言简意赅,赅完备。话不多，但意思都有了。形容说话写文章简明扼要。
东挦西扯,指到处张罗。
修旧起废,原指修诗书，兴礼乐。引申为把旧有的修理好。把废置的利用起来。
说一是一，说二是二,说怎样就怎样，不能更改。
通工易事,分工合作，互通有无，拿多余的换没有的。同通功易事。
惟利是图,一心为利，别的什么都不顾。
乘虚而入,乘趁。趁着虚弱疏漏的地方进入。
使料所及,料料想，估计；及到。当初已经料想到的。
善始令终,做事情有好的开头，也有好的结尾。形容办事认真。同善始善终。
风声鹤唳,唳鹤叫声。形容惊慌失措，或自相惊忧。
兴致勃勃,兴致兴趣；勃勃旺盛的样子。形容兴头很足。
风雨对床,指兄弟或亲友久别后重逢，共处一室倾心交谈的欢乐之情。
能掐会算,能用手指掐算。指有未卜先知的本事。
公买公卖,公平合理地买卖。
背信弃义,背违背；信信用；弃扔掉；义道义。违背诺言，不讲道义。
气喘如牛,形容大声喘气的模样。
强本弱末,犹强干弱枝。比喻削减地方势力，加强中央权力。
贤身贵体,指身分高贵。
转死沟渠,指弃尸于山沟水渠。同转死沟壑。
倾耳细听,侧耳留意而听。
鹤处鸡群,比喻一个人的仪表或才能在周围一群人里显得很突出。同鹤立鸡群。
卧不安席,睡不安宁。形容心事、忧虑重重。
认贼为子,佛家语，比喻错将妄想认为真实。
遣词措意,指写文章、说话时的用词立意。同遣辞措意。
重床叠屋,比喻重复繁多。
大惑不解,惑，迷惑；解理解。感到非常迷惑，不能理解。
高不凑低不就,犹言高不成低不就。
托公行私,犹言假公济私。假借公家的名义，谋取私人的利益。
高下在手,犹言上下其手。比喻玩弄手法，串通做弊。同高下其手。
寸草不留,连小草也不留下。比喻搞得精光，一无所剩。
改换家门,提高家庭的社会地位。
莫之与京,莫没有什么，没有谁。京大，高。大得没有什么可与之相比。形容首屈一指，无与伦比。亦作大莫与京。
连篇累册,形容篇幅过多，文辞冗长。同连篇累牍。
论甘忌辛,说到甘甜的就忌讳辛辣的。比喻有所好而偏执。
高山仰止,高山比喻高尚的品德。比喻对高尚的品德的仰慕。
口耳之学,指只知道耳朵进口里出的一些皮毛之见，而没有真正的学识。
吉凶祸福,吉祥、不幸、灾祸、幸福。
束在高阁,捆起来以后放在高高的架子上。比喻放着不用。同束之高阁。
顾虑重重,重重一层又一层。一层又一层的顾虑。形容顾虑极多，难于放手行事。
卷甲衔枚,指行军时轻装疾进，保持肃静，以利奇袭。
名副其实,名声或名义和实际相符。
贻厥孙谋,贻遗留；厥其，他的；谋计谋，打算。为子孙的将来作好安排。
衅起萧墙,萧墙古代宫室内当门的小墙。指祸乱发生在家里。比喻内部发生祸乱。
如出一辙,辙车轮碾轧的痕迹∶象出自同一个车辙。比喻两件事情非常相似。
卷旗息鼓,犹偃旗息鼓。原指行军时隐蔽行踪，不让敌人觉察。现比喻事情终止或声势减弱。
勇者不惧,惧害怕。有胆量的人无所畏惧。
九牛拉不转,形容态度十分坚决。
积忧成疾,忧忧虑。长久忧虑就会得病。
新亭对泣,新亭古地名，故址在今南京市的南面；泣小声哭。表示痛心国难而无可奈何的心情。
寥寥无几,寥寥形容数量少。非常稀少，没有几个。
朝奏暮召,指早晨上书帝王，晚上就被召见。形容被朝廷任用之速。
赤舌烧城,赤火红色。赤舌如火，足以烧城。比喻毁谤或挑拔离间的话非常伤害人。
交臂失之,比喻遇到了机会而又当面错过。
久闻大名,闻听到。早就听到对方的盛名。多用作初见面时的客套话。
神色张皇,张皇惊慌，慌张。指在紧急的情况下，神气和面色紧张惊慌，失去常态。同神色仓皇。
东磕西撞,犹言东奔西撞。
间不容瞚,指眨眼的时间都没有。形容时间的短促。
